user,event_id,event_type,repo,event_url,event_watchs,event_stars,event_forks,event_issues,event_isfork,event_projects,event_downloads,event_wiki,event_pages,event_discussions,date_,time,language_1,lang_count_1,language_2,lang_count_2,language_3,lang_count_3
stainless-app[bot],42271873304,CreateEvent,node-sdk,https://github.com/julep-ai/node-sdk,2.0,0.0,0.0,0.0,False,False,True,False,False,False,2024-09-25,19:52:22,TypeScript,346955.0,JavaScript,8918.0,Shell,6442.0
paulobueno,42271873289,PushEvent,django-pythonpro,https://github.com/paulobueno/django-pythonpro,1.0,0.0,0.0,48.0,False,True,True,True,False,False,2024-09-25,19:52:22,Python,23871.0,HTML,6934.0,,
HimYu111,42271873305,PullRequestEvent,shareown-web-app,https://github.com/HimYu111/shareown-web-app,1.0,0.0,0.0,0.0,False,True,True,False,False,False,2024-09-25,19:52:22,JavaScript,103150.0,CSS,16214.0,HTML,1734.0
djporta,42271873296,PullRequestEvent,libragob-batch-jobs,https://github.com/hmcts/libragob-batch-jobs,10.0,0.0,0.0,2.0,False,True,True,True,False,False,2024-09-25,19:52:22,Shell,45553.0,Dockerfile,399.0,,
janet-barbie,42271873265,PushEvent,atlp-pulse-bn,https://github.com/atlp-rwanda/atlp-pulse-bn,8.0,1.0,3.0,33.0,False,True,True,True,False,True,2024-09-25,19:52:22,TypeScript,310623.0,Dockerfile,210.0,Shell,153.0
frdpzk4,42271873251,PushEvent,ppub,https://github.com/frdpzk4/ppub,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,19:52:22,,,,,,
karpetrosyan,42271873231,PushEvent,hishel,https://github.com/karpetrosyan/hishel,3.0,163.0,19.0,25.0,False,True,True,False,True,False,2024-09-25,19:52:22,Python,311215.0,Shell,940.0,,
elmiko,42271873254,IssueCommentEvent,cloud-provider-sample,https://github.com/kubernetes/cloud-provider-sample,11.0,21.0,21.0,2.0,False,True,True,True,False,False,2024-09-25,19:52:22,,,,,,
TVhhabjRJC,42271873238,PushEvent,flash-crypto,https://github.com/TVhhabjRJC/flash-crypto,1.0,1.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,19:52:22,Python,14656.0,Batchfile,14.0,,
BrediMuliterno,42271873241,PushEvent,curso-DevOps-Github,https://github.com/BrediMuliterno/curso-DevOps-Github,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,19:52:22,JavaScript,18147.0,,,,
